                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0243,                0.63795,                 1.2901,                0.98699,                0.99802,                0.99487,                0.79793,                0.84453,                 0.4336,                 1.0976,               0.000878,               0.000878,               0.000878
                     37,                 1.0137,                 0.6257,                 1.2229,                 0.9917,                0.98684,                0.99474,                0.78431,                0.85369,                0.39732,                 1.1131,               0.000845,               0.000845,               0.000845
                     38,                0.97984,                0.61249,                 1.2341,                0.99756,                0.98684,                 0.9926,                0.72257,                 1.0607,                0.48939,                 1.2517,               0.000812,               0.000812,               0.000812
                     39,                0.97459,                0.60759,                 1.2268,                0.98699,                0.99844,                0.99435,                0.78533,                0.83249,                0.39645,                 1.0928,               0.000779,               0.000779,               0.000779
                     40,                0.95749,                0.59159,                 1.2126,                0.97284,                      1,                0.99303,                0.80159,                0.82158,                0.41124,                 1.0927,               0.000746,               0.000746,               0.000746
                     41,                0.98223,                0.60063,                 1.2251,                0.99623,                      1,                  0.995,                0.81286,                0.75443,                0.37586,                 1.0496,               0.000713,               0.000713,               0.000713
                     42,                 0.9732,                0.61267,                 1.2275,                0.99889,                      1,                  0.995,                0.79267,                0.82618,                 0.3903,                 1.0937,                0.00068,                0.00068,                0.00068
                     43,                0.92713,                0.57395,                 1.2006,                0.99916,                      1,                  0.995,                0.80401,                0.78371,                0.35992,                  1.074,               0.000647,               0.000647,               0.000647
                     44,                0.90207,                0.54962,                 1.1799,                0.99921,                      1,                  0.995,                0.82277,                0.77542,                0.36354,                 1.0629,               0.000614,               0.000614,               0.000614
                     45,                0.95239,                0.56577,                  1.214,                0.99833,                0.98684,                0.99474,                0.80335,                0.82879,                0.37223,                 1.0785,               0.000581,               0.000581,               0.000581
                     46,                0.90324,                0.54898,                 1.1925,                0.99914,                      1,                  0.995,                0.80433,                0.84176,                0.35912,                  1.105,               0.000548,               0.000548,               0.000548
                     47,                0.87857,                 0.5243,                 1.1831,                0.99962,                      1,                  0.995,                0.80182,                0.81217,                0.35237,                 1.0976,               0.000515,               0.000515,               0.000515
                     48,                0.89974,                0.56338,                 1.2016,                0.99934,                      1,                  0.995,                 0.8139,                0.74242,                0.34214,                 1.0616,               0.000482,               0.000482,               0.000482
                     49,                0.86988,                0.52649,                 1.1774,                      1,                0.99997,                  0.995,                0.82478,                0.72538,                0.34183,                 1.0383,               0.000449,               0.000449,               0.000449
                     50,                0.87088,                0.51925,                 1.1756,                0.99928,                      1,                  0.995,                0.83373,                 0.7343,                0.31878,                  1.041,               0.000416,               0.000416,               0.000416
                     51,                0.78449,                0.40513,                 1.1543,                0.99908,                      1,                  0.995,                0.78969,                0.78046,                 0.3491,                 1.0675,               0.000383,               0.000383,               0.000383
                     52,                0.71974,                0.37846,                 1.1026,                0.99918,                      1,                  0.995,                0.82469,                 0.7555,                 0.3321,                 1.0662,                0.00035,                0.00035,                0.00035
                     53,                0.68922,                0.34137,                 1.0756,                0.99921,                      1,                  0.995,                0.82437,                0.77044,                 0.3409,                 1.0602,               0.000317,               0.000317,               0.000317
                     54,                 0.6962,                0.35106,                 1.0851,                0.99921,                      1,                  0.995,                0.83582,                0.74329,                0.32876,                 1.0468,               0.000284,               0.000284,               0.000284
                     55,                0.67346,                0.34089,                 1.0654,                0.99929,                      1,                  0.995,                0.83197,                0.72193,                0.33866,                  1.026,               0.000251,               0.000251,               0.000251
                     56,                0.66324,                0.33051,                 1.0716,                 0.9992,                      1,                  0.995,                0.84196,                0.69782,                0.31871,                 1.0253,               0.000218,               0.000218,               0.000218
                     57,                0.66353,                0.33565,                 1.0633,                0.99917,                      1,                  0.995,                0.84017,                0.70523,                0.31606,                 1.0197,               0.000185,               0.000185,               0.000185
                     58,                0.63678,                0.32353,                 1.0418,                0.99927,                      1,                  0.995,                0.84288,                0.71053,                0.31936,                 1.0284,               0.000152,               0.000152,               0.000152
                     59,                0.62604,                0.31478,                 1.0356,                0.99947,                      1,                  0.995,                0.83873,                0.71148,                0.31885,                 1.0291,               0.000119,               0.000119,               0.000119
                     60,                0.61377,                0.31558,                 1.0172,                0.99959,                      1,                  0.995,                0.83894,                0.71874,                0.31969,                 1.0361,                8.6e-05,                8.6e-05,                8.6e-05
